"","No","Yes","name","p_value"
"1",0.133819807268611,0.108387540183296,"2011-2012",0.601520779841012
"2",0.140988090548826,0.107078154278849,"2013-2014",0.601520779841012
"3",0.137200017031389,0.113789452420467,"2015-2016",0.601520779841012
"4",0.143084016811435,0.115652921457127,"2017-2020",0.601520779841012
"5",0.36105888430362,0.105460346106621,"18 to 44",1.44223094315299e-109
"6",0.149292298797687,0.195090369878139,"45 to 64",1.44223094315299e-109
"7",0.0308799769115763,0.0821487956842941,"65 to 74",1.44223094315299e-109
"8",0.0138607716473765,0.0622085566706861,"75+",1.44223094315299e-109
"9",0.254800608929305,0.227415541718946,"Men",1.60643574335581e-07
"10",0.300291322730956,0.217492526620794,"Women",1.60643574335581e-07
"11",0.100787710550944,0.052758323178725,"Hispanic",1.82654615041209e-27
"12",0.0348550960527352,0.0207946520305762,"Non-Hispanic Asian",1.82654615041209e-27
"13",0.0544718184680683,0.0608111114961779,"Non-Hispanic Black",1.82654615041209e-27
"14",0.346316848544297,0.29603241867847,"Non-Hispanic White",1.82654615041209e-27
"15",0.0186604580442156,0.0145115629557903,"Other",1.82654615041209e-27
"16",0.212691134225702,0.0863767533108134,"<25",4.26554711446788e-65
"17",0.178134024564074,0.141310170280868,"25 to <30",4.26554711446788e-65
"18",0.0963698359625504,0.110137807331529,"30 to <35",4.26554711446788e-65
"19",0.068114925402167,0.106865348922297,"35+",4.26554711446788e-65
"20",0.530788046608051,0.358244214252479,"No",8.96799056566809e-38
"21",0.0243038850522097,0.0866638540872609,"Yes",8.96799056566809e-38
"22",0.0241735065959438,0.0261133947242874,"1",5.45841827715599e-14
"23",0.0469554534283622,0.0463019945831342,"2",5.45841827715599e-14
"24",0.110816194246451,0.113617188292666,"3",5.45841827715599e-14
"25",0.171764458977983,0.147454324614519,"4",5.45841827715599e-14
"26",0.189091694201485,0.123220713373028,"5",5.45841827715599e-14
"27",6.76130458974086e-05,7.85084408766766e-06,"7",5.45841827715599e-14
"28",0.000190544883109984,0.000225068189045154,"9",5.45841827715599e-14
